ID1	ID2	ID3	RECORD #	RECORD ID
16HIS	00000	00V69	AEG-005089	16HIS-00000-00V69
16HIS	00000	00V6A	AEG-005090	16HIS-00000-00V6A
16HIS	00000	00V6B	AEG-005091	16HIS-00000-00V6B
16HIS	00000	00V6C	AEG-005092	16HIS-00000-00V6C
16HIS	00000	00V6D	AEG-005093	16HIS-00000-00V6D
20HIS	00000	00V6E	AEG-005094	20HIS-00000-00V6E
20HIS	00000	00V6F	AEG-005095	20HIS-00000-00V6F
20HIS	00000	00V6G	AEG-005096	20HIS-00000-00V6G
16HIS	00000	00V6H	AEG-005097	16HIS-00000-00V6H
16HIS	00000	00V6I	AEG-005098	16HIS-00000-00V6I
16HIS	00000	00V6J	AEG-005099	16HIS-00000-00V6J
21HIS	00000	00V6K	AEG-005100	21HIS-00000-00V6K
19HIS	00000	00V6L	AEG-005101	19HIS-00000-00V6L
20HIS	00000	00V6M	AEG-005102	20HIS-00000-00V6M
21HIS	00000	00V6N	AEG-005103	21HIS-00000-00V6N
17HIS	00000	00V6O	AEG-005104	17HIS-00000-00V6O
16HIS	00000	00V6P	AEG-005105	16HIS-00000-00V6P
16HIS	00000	00V6Q	AEG-005106	16HIS-00000-00V6Q
19HIS	00000	00V6R	AEG-005107	19HIS-00000-00V6R
19HIS	00000	00V6S	AEG-005108	19HIS-00000-00V6S
19HIS	00000	00V6T	AEG-005109	19HIS-00000-00V6T
19HIS	00000	00V6U	AEG-005110	19HIS-00000-00V6U
19HIS	00000	00V6V	AEG-005111	19HIS-00000-00V6V
17HIS	00000	00V6W	AEG-005112	17HIS-00000-00V6W
17HIS	00000	00V6X	AEG-005113	17HIS-00000-00V6X
18HIS	00000	00V6Y	AEG-005114	18HIS-00000-00V6Y
16HIS	00000	00V6Z	AEG-005115	16HIS-00000-00V6Z
16HIS	00000	00V70	AEG-005116	16HIS-00000-00V70
16HIS	00000	00V71	AEG-005117	16HIS-00000-00V71
16HIS	00000	00V72	AEG-005118	16HIS-00000-00V72
16HIS	00000	00V73	AEG-005119	16HIS-00000-00V73
16HIS	00000	00V74	AEG-005120	16HIS-00000-00V74
18HIS	00000	00V75	AEG-005121	18HIS-00000-00V75
18HIS	00000	00V76	AEG-005122	18HIS-00000-00V76
18HIS	00000	00V77	AEG-005123	18HIS-00000-00V77
21HIS	00000	00V78	AEG-005124	21HIS-00000-00V78
17HIS	00000	00V79	AEG-005125	17HIS-00000-00V79
16HIS	00000	00V7A	AEG-005126	16HIS-00000-00V7A
17HIS	00000	00V7B	AEG-005127	17HIS-00000-00V7B
17HIS	00000	00V7C	AEG-005128	17HIS-00000-00V7C
18HIS	00000	00V7D	AEG-005129	18HIS-00000-00V7D
17HIS	00000	00V7E	AEG-005130	17HIS-00000-00V7E
17HIS	00000	00V7F	AEG-005131	17HIS-00000-00V7F
17HIS	00000	00V7G	AEG-005132	17HIS-00000-00V7G
17HIS	00000	00V7H	AEG-005133	17HIS-00000-00V7H
19HIS	00000	00V7I	AEG-005134	19HIS-00000-00V7I
17HIS	00000	00V7J	AEG-005135	17HIS-00000-00V7J
17HIS	00000	00V7K	AEG-005136	17HIS-00000-00V7K
18HIS	00000	00V7L	AEG-005137	18HIS-00000-00V7L
18HIS	00000	00V7M	AEG-005138	18HIS-00000-00V7M
18HIS	00000	00V7N	AEG-005139	18HIS-00000-00V7N
